record_name,measured_gwl,caution_flag,latitude,longitude,nztm_y,nztm_x,model_gwl,measured_minus_model,type,type_as_number
CPT_84,2.5,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.503161398,172.701355039,5183264.206640962,1575857.5027488917,1.0790061950683594,1.4209938049316406,cpt,1
CPT_85,2.0,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.502344367,172.699483086,5183354.399919047,1575705.846129194,0.6792588233947754,1.3207411766052246,cpt,1
CPT_86,2.0,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.50334048,172.698517212,5183243.491041815,1575628.164375227,0.799140214920044,1.200859785079956,cpt,1
CPT_87,2.0,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.508485823,172.690817663,5182669.774861044,1575007.8562106595,0.8252897262573242,1.1747102737426758,cpt,1
CPT_88,4.7,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.507056025,172.6892035,5182828.079761684,1574876.785458548,0.4919610023498535,4.208038997650147,cpt,1
CPT_89,2.6,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.501473802,172.702128197,5183451.851942132,1575919.3342224683,1.0790061950683594,1.5209938049316407,cpt,1
CPT_91,3.2,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.523209999,172.647813185,5181020.717771617,1571538.5930561577,0.109384536743164,3.090615463256836,cpt,1
CPT_92,1.1,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.523371562,172.649547304,5181003.366569436,1571678.808747135,0.109384536743164,0.990615463256836,cpt,1
CPT_93,1.6,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.525245377,172.650477625,5180795.579511677,1571754.8652456205,0.0641274452209472,1.5358725547790528,cpt,1
CPT_94,2.0,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.524918185,172.646433747,5180830.536170714,1571427.9221383955,0.0641899108886718,1.935810089111328,cpt,1
